energy_price,energy_price_predicted_1,energy_price_predicted_2,energy_price_predicted_3
64.39,31.71,3.24,80.54
64.39,31.71,3.24,80.54
42.93999999999999,60.06000000000001,0.9599999999999999,78.4
42.93999999999999,60.06000000000001,0.9599999999999999,78.4
42.93999999999999,60.06000000000001,0.9599999999999999,78.4
42.93999999999999,60.06000000000001,0.9599999999999999,78.4
39.75,78.01,0.66,69.06
39.75,78.01,0.66,69.06
39.75,78.01,0.66,69.06
39.75,78.01,0.66,69.06
29.92,82.11,0.65,62.43
29.92,82.11,0.65,62.43
29.92,82.11,0.65,62.43
29.92,82.11,0.65,62.43
21.5,58.0,2.74,63.11
21.5,58.0,2.74,63.11
21.5,58.0,2.74,63.11
21.5,58.0,2.74,63.11
16.7,13.76,28.030000000000005,61.99
16.7,13.76,28.030000000000005,61.99
16.7,13.76,28.030000000000005,61.99
16.7,13.76,28.030000000000005,61.99
31.71,3.24,89.81,74.12999999999998
31.71,3.24,89.81,74.12999999999998
31.71,3.24,89.81,74.12999999999998
31.71,3.24,89.81,74.12999999999998
60.06000000000001,0.9599999999999999,100.0,81.25
60.06000000000001,0.9599999999999999,100.0,81.25
60.06000000000001,0.9599999999999999,100.0,81.25
60.06000000000001,0.9599999999999999,100.0,81.25
78.01,0.66,102.11,94.87999999999998
78.01,0.66,102.11,94.87999999999998
78.01,0.66,102.11,94.87999999999998
78.01,0.66,102.11,94.87999999999998
82.11,0.65,96.29,104.93
82.11,0.65,96.29,104.93
82.11,0.65,96.29,104.93
82.11,0.65,96.29,104.93
58.0,2.74,90.36,69.11
58.0,2.74,90.36,69.11
58.0,2.74,90.36,69.11
58.0,2.74,90.36,69.11
13.76,28.030000000000005,88.62000000000002,34.05
13.76,28.030000000000005,88.62000000000002,34.05
13.76,28.030000000000005,88.62000000000002,34.05
13.76,28.030000000000005,88.62000000000002,34.05
3.24,89.81,80.54,19.55
3.24,89.81,80.54,19.55
3.24,89.81,80.54,19.55
3.24,89.81,80.54,19.55
